,world,bridge,bush,reward,pRot,max_pbait,min_pbait,pDecay,pStep,trialNum,trialStartTimeAbs,trialStart,clientTrialStart,trialEnd,goCueTime,choice,choiceTime,side,actBait_1,actBait_2,actRot_1,actRot_2,baited_1,baited_2,pBait_1,pBait_2,trialStart_C,clientTrialStart_C,postITI,postITI_C,goCueTime_C,choiceTime_2,postChoiceTimeMin,postChoiceTimeMin_C,trialEnd_C,trialStart_s,goCueTime_s,choiceTime_s,postChoiceTimeMin_s,trialEnd_s,rewardCue_s,len_begin_choice_s,len_choice_reward_s,len_reward_end_s,stay_hit,stay_miss,switch,stay_hit_prior,stay_miss_prior,switch_prior
16,2,0,2,2,0.1,0.32,0,0.97,0.02,17,1555984217760,83063,83127,87604,83170,choseTrap,83740,right,1,0,0,0,1,1,0.20163886611501775,0.11836113388498225,0,59,83162,96,104,674,87441,4375,4538,83.063,83.17,83.74,87.441,87.604,86.44,0.6769999999999925,2.700000000000003,1.1640000000000015,1,0,0,0,0,1
17,2,0,2,0,0.1,0.32,0,0.97,0.02,18,1555984222306,87609,87657,91955,87686,choseTrap,88052,right,0,0,0,0,1,0,0.19280313403014576,0.12719686596985424,0,44,70,87685,69,440,91753,4142,4343,87.609,87.686,88.052,91.753,91.955,90.75200000000001,0.44300000000001205,2.700000000000003,1.2029999999999887,0,1,0,1,0,0
18,2,0,2,0,0.1,0.32,0,0.97,0.02,19,1555984226658,91960,92012,96017,92039,choseTrap,92188,right,0,0,0,0,1,0,0.17869597808998305,0.14130402191001695,0,48,92037,72,74,225,95890,3927,4055,91.96,92.039,92.188,95.89,96.017,94.888,0.22800000000000864,2.700000000000003,1.1289999999999907,0,1,0,0,1,0
19,2,1,0,0,0.1,0.32,0,0.97,0.02,20,1555984230722,96024,96080,100494,96110,choseSwitch,96511,left,0,0,0,0,1,0,0.15761837288079528,0.16238162711920473,0,52,81,96107,79,484,100217,4190,4467,96.024,96.11,96.511,100.217,100.494,99.211,0.48699999999999477,2.700000000000003,1.2830000000000013,0,0,1,0,1,0
20,1,0,1,1,0.1,0.32,0,0.97,0.02,21,1555984235195,100498,100544,106160,100571,choseTrap,101164,left,0,0,0,0,1,0,0.1335029844691233,0.18649701553087672,0,42,100568,66,68,662,104868,4365,5658,100.498,100.571,101.164,104.868,106.16,103.864,0.6659999999999968,2.700000000000003,2.2959999999999923,1,0,0,0,0,1
21,1,0,1,0,0.1,0.32,0,0.97,0.02,22,1555984240864,106166,106234,110725,106262,choseTrap,106740,left,0,0,0,0,0,0,0.12568487188595495,0.19431512811404505,0,63,106257,88,90,569,110444,4275,4555,106.166,106.262,106.74,110.444,110.725,109.44,0.5739999999999981,2.700000000000003,1.2849999999999966,0,1,0,1,0,0
22,1,0,1,0,0.1,0.32,0,0.97,0.02,23,1555984245428,110731,110794,116235,110825,choseTrap,111353,left,0,0,0,0,0,0,0.13219339899020746,0.18780660100979255,0,58,110821,86,89,618,115058,4322,5499,110.731,110.825,111.353,115.058,116.235,114.053,0.6219999999999999,2.700000000000003,2.182000000000002,0,1,0,0,1,0
23,1,1,0,0,0.1,0.32,0,0.97,0.02,24,1555984250940,116243,116313,120701,116346,choseSwitch,116729,right,0,0,0,0,0,0,0.14280394853275452,0.17719605146724549,0,64,116344,97,99,482,120433,4186,4455,116.243,116.346,116.729,120.433,120.701,119.429,0.4860000000000042,2.700000000000003,1.2719999999999914,0,0,1,0,1,0
24,2,0,2,2,0.1,0.32,0,0.97,0.02,25,1555984255405,120707,120774,126131,120801,choseTrap,121299,right,0,1,0,0,0,1,0.12597820335592058,0.19402179664407945,0,63,120797,87,88,587,125003,4291,5418,120.707,120.801,121.299,125.003,126.131,123.99900000000001,0.592000000000013,2.700000000000003,2.131999999999991,1,0,0,0,0,1
25,2,0,2,0,0.1,0.32,0,0.97,0.02,26,1555984260834,126137,126207,130626,126247,choseTrap,126784,right,0,0,0,0,0,0,0.09590034626125464,0.22409965373874535,0,63,126238,97,99,644,130489,4348,4485,126.137,126.247,126.784,130.489,130.626,129.484,0.6470000000000056,2.700000000000003,1.141999999999996,0,1,0,1,0,0
