"world","bridge","bush","reward","pRot","max_pbait","min_pbait","pDecay","pStep","trialNum","trialStartTimeAbs","trialStart","clientTrialStart","trialEnd","goCueTime","choice","choiceTime","side","actBait_1","actBait_2","actRot_1","actRot_2","baited_1","baited_2","pBait_1","pBait_2","trialStart_C","clientTrialStart_C","postITI","postITI_C","goCueTime_C","choiceTime_2","postChoiceTimeMin","postChoiceTimeMin_C","trialEnd_C"
"1","1","0","0","0.1","0.32","0","0.97","0.02","24","1555984250940","116243","116313","120701","116346","choseSwitch","116729","right","0","0","0","0","0","0","0.14280394853275452","0.17719605146724549","0","64","116344","97","99","482","120433","4186","4455"
"2","0","2","2","0.1","0.32","0","0.97","0.02","25","1555984255405","120707","120774","126131","120801","choseTrap","121299","right","0","1","0","0","0","1","0.12597820335592058","0.19402179664407943","0","63","120797","87","88","587","125003","4291","5418"
"2","0","2","0","0.1","0.32","0","0.97","0.02","26","1555984260834","126137","126207","130626","126247","choseTrap","126784","right","0","0","0","0","0","0","0.09590034626125463","0.22409965373874538","0","63","126238","97","99","644","130489","4348","4485"
"2","0","2","2","0.1","0.32","0","0.97","0.02","27","1555984265330","130632","130696","134964","130726","choseTrap","131114","right","1","1","0","0","1","1","0.06878292715803605","0.25121707284196393","0","59","87","130721","84","477","134818","4182","4328"
"2","0","2","0","0.1","0.32","0","0.97","0.02","28","1555984269669","134972","135036","139528","135063","choseTrap","135457","right","0","0","0","0","1","0","0.009789618153256352","0.31021038184674365","0","59","135061","85","87","480","139159","4183","4552"
"2","0","2","0","0.1","0.32","0","0.97","0.02","29","1555984274234","139537","139605","144145","139640","choseTrap","139765","right","0","0","0","0","1","0","0.03253509315875777","0.28746490684124226","0","64","139636","95","97","223","143467","3927","4605"
"2","1","0","0","0.1","0.32","0","0.97","0.02","30","1555984278850","144152","144213","149451","144245","choseSwitch","144611","left","0","0","0","0","1","0","0.04551516340867978","0.2744848365913202","0","57","144240","84","87","456","148317","4160","5295"
"1","0","1","1","0.1","0.32","0","0.97","0.02","31","1555984284154","149457","149524","154747","149554","choseTrap","150064","left","0","1","0","0","1","1","0.05112834079457042","0.2688716592054296","0","61","92","149550","89","602","153766","4305","5286"
"1","0","1","0","0.1","0.32","0","0.97","0.02","32","1555984289453","154756","154820","159058","154849","choseTrap","155254","left","0","0","0","0","0","1","0.009240920286084364","0.31075907971391564","0","60","154845","84","87","493","158958","4198","4297"
"1","0","1","0","0.1","0.32","0","0.97","0.02","33","1555984293762","159065","159131","163303","159162","choseTrap","159207","left","0","0","0","0","0","1","0.02889583139320745","0.29110416860679256","0","61","91","159158","89","138","162911","3841","4235"
"1","1","0","0","0.1","0.32","0","0.97","0.02","34","1555984298006","163309","163370","168296","163400","choseSwitch","163834","right","0","0","0","0","0","1","0.02268544477977369","0.2973145552202263","0","57","163397","83","85","521","167538","4225","4983"
"2","0","2","2","0.1","0.32","0","0.97","0.02","35","1555984303000","168303","168367","173149","168399","choseTrap","168972","right","0","0","0","0","0","1","0.04079968991393214","0.2792003100860679","0","59","168394","87","89","664","172681","4374","4842"
"2","0","2","0","0.1","0.32","0","0.97","0.02","36","1555984307854","173156","173217","178046","173244","choseTrap","173733","right","0","0","0","0","0","0","0.046691949004233804","0.2733080509957662","0","58","83","173242","81","573","177435","4275","4887"
"2","0","2","2","0.1","0.32","0","0.97","0.02","37","1555984312750","178052","178121","182996","178154","choseTrap","178589","right","0","1","0","0","0","1","0.09090077768505708","0.22909922231494292","0","64","178149","93","95","534","182292","4236","4941"
"2","0","2","0","0.1","0.32","0","0.97","0.02","38","1555984317700","183002","183064","187455","183093","choseTrap","183213","right","0","0","0","0","0","0","0.08441878398575169","0.2355812160142483","0","57","183090","84","86","207","186917","3911","4449"
"2","1","0","0","0.1","0.32","0","0.97","0.02","39","1555984322160","187462","187525","192365","187551","choseSwitch","188308","left","0","0","0","0","0","0","0.11346354448543274","0.20653645551456729","0","58","187548","82","84","842","192011","4545","4899"
"1","0","1","0","0.1","0.32","0","0.97","0.02","40","1555984327068","192371","192435","197503","192464","choseTrap","192773","left","0","0","0","0","0","0","0.109700005188334","0.210299994811666","0","60","86","192459","84","397","196476","4100","5128"
"1","0","1","1","0.1","0.32","0","0.97","0.02","41","1555984332206","197509","197573","201911","197612","choseTrap","198151","left","1","0","0","0","1","0","0.11039811880344441","0.2096018811965556","0","58","197605","92","95","637","201852","4340","4399"
"1","0","1","0","0.1","0.32","0","0.97","0.02","42","1555984336616","201919","201982","207332","202007","choseTrap","202576","left","0","0","0","0","0","0","0.1509526202627585","0.16904737973724152","0","57","202005","81","83","652","206279","4356","5409"
"1","0","1","0","0.1","0.32","0","0.97","0.02","43","1555984342038","207341","207410","212209","207443","choseTrap","208315","left","0","0","0","0","0","0","0.15520272132733232","0.1647972786726677","0","63","207440","95","97","970","212017","4673","4865"
"1","1","0","0","0.1","0.32","0","0.97","0.02","44","1555984346912","212215","212279","217009","212308","choseSwitch","212656","right","0","0","0","0","0","0","0.1862177369896678","0.13378226301033222","0","60","212305","85","87","438","216360","4141","4790"
"2","0","2","0","0.1","0.32","0","0.97","0.02","45","1555984351712","217015","217081","221438","217115","choseTrap","217671","right","0","0","0","0","0","0","0.18764331444988713","0.13235668555011287","0","61","217110","91","95","652","221374","4355","4419"
"2","0","2","0","0.1","0.32","0","0.97","0.02","46","1555984356142","221444","221508","226183","221536","choseTrap","221990","right","0","0","0","0","0","0","0.20676947859558317","0.11323052140441683","0","60","221533","85","87","542","225697","4247","4735"
"2","0","2","0","0.1","0.32","0","0.97","0.02","47","1555984360887","226190","226252","231343","226280","choseTrap","226723","right","1","0","0","0","1","0","0.2226774626114765","0.0973225373885235","0","58","226278","82","84","528","230425","4231","5149"
"2","0","2","0","0.1","0.32","0","0.97","0.02","48","1555984366048","231350","231422","237077","231452","choseTrap","232229","right","0","0","0","0","1","0","0.18962567143574627","0.13037432856425374","0","67","231450","95","98","875","235932","4578","5723"
"2","1","0","0","0.1","0.32","0","0.97","0.02","49","1555984371779","237082","237149","242598","237179","choseSwitch","237600","left","0","0","0","0","1","0","0.18007668048225456","0.13992331951774545","0","63","237176","89","91","514","241304","4217","5511"
"1","0","1","1","0.1","0.32","0","0.97","0.02","50","1555984377301","242604","242676","247449","242711","choseTrap","242820","left","0","1","0","0","1","1","0.19416225948528498","0.12583774051471502","0","66","242707","98","102","212","246521","3914","4840"
"1","0","1","0","0.1","0.32","0","0.97","0.02","51","1555984382154","247457","247520","252095","247548","choseTrap","247917","left","0","0","0","0","0","1","0.20085219315351022","0.11914780684648979","0","58","247546","84","86","456","251622","4159","4634"
"1","0","1","0","0.1","0.32","0","0.97","0.02","52","1555984386800","252102","252169","256567","252209","choseTrap","252586","left","0","0","0","0","0","1","0.21948967839906516","0.10051032160093484","0","60","252198","93","98","480","256288","4183","4460"
"1","1","0","0","0.1","0.32","0","0.97","0.02","53","1555984391270","256572","256636","261071","256664","choseSwitch","256951","right","0","0","0","0","0","1","0.21939667080478598","0.10060332919521403","0","59","87","256662","85","376","260655","4079","4495"
"2","0","2","2","0.1","0.32","0","0.97","0.02","54","1555984395776","261079","261145","265702","261174","choseTrap","261665","right","0","0","0","0","0","1","0.21011848329322796","0.10988151670677204","0","60","261168","86","88","578","265363","4280","4618"
"2","0","2","0","0.1","0.32","0","0.97","0.02","55","1555984400408","265710","265774","270093","265803","choseTrap","266207","right","1","0","0","0","1","0","0.26224149404032127","0.05775850595967874","0","60","265801","86","88","492","269911","4197","4379"
"2","0","2","0","0.1","0.32","0","0.97","0.02","56","1555984404796","270099","270161","275797","270190","choseTrap","271167","right","0","0","0","0","1","0","0.252438341693926","0.06756165830607402","0","58","85","270188","83","1063","274869","4766","5693"
"2","1","0","0","0.1","0.32","0","0.97","0.02","57","1555984410503","275806","275873","280211","275908","choseSwitch","276273","left","0","1","0","0","1","1","0.26901979910731133","0.050980200892688676","0","61","275902","93","95","463","279977","4167","4401"
"1","0","1","1","0.1","0.32","0","0.97","0.02","58","1555984414915","280217","280280","285666","280310","choseTrap","280873","left","0","0","0","0","1","1","0.25666940739369026","0.06333059260630974","0","58","280305","84","86","652","284579","4358","5444"
"1","0","1","0","0.1","0.32","0","0.97","0.02","59","1555984420370","285673","285739","290425","285770","choseTrap","286154","left","0","0","0","0","0","1","0.2832743721359757","0.03672562786402428","0","61","91","285765","88","478","289857","4180","4748"
"1","0","1","0","0.1","0.32","0","0.97","0.02","60","1555984425129","290431","290495","295693","290525","choseTrap","290990","left","0","0","0","0","0","1","0.24534953176956725","0.07465046823043275","0","59","290520","84","88","553","294695","4259","5257"
"1","1","0","0","0.1","0.32","0","0.97","0.02","61","1555984430398","295701","295772","301294","295797","choseSwitch","296472","right","0","0","0","0","0","1","0.29935166494098847","0.020648335059011536","0","66","295791","86","88","767","300178","4473","5589"
"2","0","2","2","0.1","0.32","0","0.97","0.02","62","1555984435996","301299","301369","306968","301391","choseTrap","302508","right","0","0","0","0","0","1","0.30348129353941994","0.016518706460580068","0","66","301388","85","87","1204","306213","4910","5664"
"2","0","2","0","0.1","0.32","0","0.97","0.02","63","1555984441671","306973","307043","311724","307075","choseTrap","307117","right","1","0","0","0","1","0","0.3058672317040311","0.014132768295968934","0","64","307072","95","97","141","310821","3844","4746"
"2","0","2","0","0.1","0.32","0","0.97","0.02","64","1555984446428","311731","311792","318156","311821","choseTrap","313972","right","0","0","0","0","1","0","0.29149776108265524","0.02850223891734477","0","57","311817","83","85","2236","317676","5940","6422"
"2","1","0","0","0.1","0.32","0","0.97","0.02","65","1555984452860","318163","318232","323318","318265","choseSwitch","318758","left","0","0","0","0","1","0","0.27405240001094555","0.045947599989054455","0","63","318263","94","96","592","322465","4299","5151"
"1","0","1","1","0.1","0.32","0","0.97","0.02","66","1555984458022","323325","323392","328012","323422","choseTrap","324004","left","0","0","0","0","1","0","0.26733933510035274","0.05266066489964727","0","62","323420","89","92","676","327706","4378","4683"
"1","0","1","0","0.1","0.32","0","0.97","0.02","67","1555984462717","328020","328085","333017","328118","choseTrap","328731","left","0","0","0","0","0","0","0.2442049166237102","0.07579508337628982","0","59","328114","89","92","706","332437","4414","4994"
"1","0","1","0","0.1","0.32","0","0.97","0.02","68","1555984467722","333025","333090","338394","333121","choseTrap","333595","left","0","0","0","0","0","0","0.21795325557141965","0.10204674442858036","0","61","333117","88","91","566","337302","4273","5364"
"1","0","1","1","0.1","0.32","0","0.97","0.02","69","1555984473097","338400","338470","343120","338508","choseTrap","338590","left","1","0","0","0","1","0","0.22862084301277275","0.09137915698722726","0","64","338503","99","102","185","342294","3889","4715"
"1","0","1","0","0.1","0.32","0","0.97","0.02","70","1555984477823","343125","343187","348393","343214","choseTrap","343697","left","0","0","0","0","0","0","0.2160782202941844","0.10392177970581562","0","58","343212","83","85","567","347403","4274","5263"
"1","1","0","0","0.1","0.32","0","0.97","0.02","71","1555984483098","348401","348470","352890","348510","choseSwitch","348860","right","0","1","0","0","0","1","0.21849133213711344","0.10150866786288656","0","64","348503","99","102","455","352563","4158","4485"
"2","0","2","0","0.1","0.32","0","0.97","0.02","72","1555984487594","352896","352959","358323","352987","choseTrap","353409","right","1","0","0","1","1","0","0.23565356966693501","0.08434643033306499","0","59","352982","82","84","508","357112","4212","5422"
"2","0","2","0","0.1","0.32","0","0.97","0.02","73","1555984493028","358331","358394","364101","358425","choseTrap","359146","right","0","0","0","0","1","0","0.2563108082316533","0.0636891917683467","0","59","358421","86","89","810","362848","4513","5766"
"2","0","2","0","0.1","0.32","0","0.97","0.02","74","1555984498805","364108","364171","369594","364199","choseTrap","364822","right","0","0","0","0","1","0","0.2794251149494673","0.040574885050532694","0","58","364196","83","86","709","368526","4413","5481"
"2","0","2","0","0.1","0.32","0","0.97","0.02","75","1555984504299","369601","369665","374381","369695","choseTrap","370411","right","0","0","0","0","1","0","0.26022180875039036","0.05977819124960965","0","59","369693","86","88","806","374114","4510","4776"
"2","1","0","0","0.1","0.32","0","0.97","0.02","76","1555984509087","374389","374450","379148","374477","choseSwitch","375060","left","1","0","1","0","1","0","0.2442364622432736","0.0757635377567264","0","56","84","374474","82","667","378766","4373","4755"
"1","0","1","1","0.1","0.32","0","0.97","0.02","77","1555984513852","379154","379220","383934","379249","choseTrap","379884","left","0","0","0","0","1","0","0.25245099669989446","0.06754900330010555","0","61","379244","86","89","725","383586","4428","4776"
"1","0","1","0","0.1","0.32","0","0.97","0.02","78","1555984518638","383940","384003","388596","384032","choseTrap","384549","left","0","0","0","0","0","0","0.23942702890913237","0.08057297109086764","0","60","384030","84","87","605","388252","4307","4651"
"1","0","1","1","0.1","0.32","0","0.97","0.02","79","1555984523301","388603","388668","394378","388704","choseTrap","389405","left","1","0","0","0","1","0","0.2519075270616535","0.06809247293834653","0","61","388698","91","93","796","393106","4499","5770"
"1","0","1","0","0.1","0.32","0","0.97","0.02","80","1555984529080","394383","394445","399283","394476","choseTrap","395267","left","0","0","0","0","0","0","0.2203939858420012","0.0996060141579988","0","58","394474","84","86","879","398971","4583","4896"
"1","1","0","0","0.1","0.32","0","0.97","0.02","81","1555984533987","399289","399357","404547","399383","choseSwitch","400081","right","0","1","0","0","0","1","0.22677416034557552","0.09322583965442449","0","61","399381","87","89","788","403789","4496","5254"
"2","0","2","2","0.1","0.32","0","0.97","0.02","82","1555984539250","404553","404620","409864","404646","choseTrap","405544","right","0","0","0","0","0","1","0.21325327331558477","0.10674672668441523","0","62","88","404644","86","987","409247","4690","5307"
"2","0","2","0","0.1","0.32","0","0.97","0.02","83","1555984544568","409871","409936","415469","409966","choseTrap","410520","right","1","0","0","0","1","0","0.20483462957387466","0.11516537042612535","0","60","409961","86","89","644","414222","4347","5594"
"2","0","2","0","0.1","0.32","0","0.97","0.02","84","1555984550172","415475","415538","420771","415566","choseTrap","416167","right","1","0","1","0","1","0","0.19667308404738343","0.12332691595261658","0","58","86","415564","84","681","419866","4385","5292"
"2","1","0","0","0.1","0.32","0","0.97","0.02","85","1555984555477","420780","420848","425381","420886","choseSwitch","421299","left","0","0","0","0","1","0","0.21899948101957017","0.10100051898042983","0","61","420884","98","100","514","425002","4218","4598"
"1","0","1","1","0.1","0.32","0","0.97","0.02","86","1555984560084","425387","425445","429940","425471","choseTrap","426036","left","0","0","0","0","1","0","0.22518110096031896","0.09481889903968105","0","53","79","425468","77","643","429739","4348","4549"
"1","0","1","0","0.1","0.32","0","0.97","0.02","87","1555984564647","429950","430011","434735","430041","choseTrap","430478","left","0","0","0","0","0","0","0.20057782676834504","0.11942217323165497","0","57","430036","82","84","523","434180","4226","4782"
"1","0","1","0","0.1","0.32","0","0.97","0.02","88","1555984569439","434742","434807","439555","434836","choseTrap","435383","left","0","0","0","0","0","0","0.20237486094016466","0.11762513905983535","0","59","434832","86","88","636","439089","4343","4809"
"1","1","0","0","0.1","0.32","0","0.97","0.02","89","1555984574263","439563","439629","444844","439658","choseSwitch","440179","right","0","0","0","0","0","0","0.1809754336025822","0.1390245663974178","0","61","439653","86","89","612","443882","4315","5277"
"2","0","2","0","0.1","0.32","0","0.97","0.02","90","1555984579547","444850","444913","449465","444945","choseTrap","445666","right","0","0","0","0","0","0","0.17413127435844877","0.14586872564155123","0","59","444939","86","88","812","449368","4514","4610"
"2","0","2","0","0.1","0.32","0","0.97","0.02","91","1555984584169","449471","449534","454483","449570","choseTrap","449944","right","0","0","0","0","0","0","0.18654874547123382","0.1334512545287662","0","59","449564","89","92","468","453649","4174","5007"
"2","0","2","0","0.1","0.32","0","0.97","0.02","92","1555984589187","454490","454560","459841","454596","choseTrap","455064","right","0","0","0","0","0","0","0.16074097767558848","0.15925902232441153","0","63","454591","97","99","570","458768","4273","5347"
"2","1","0","0","0.1","0.32","0","0.97","0.02","93","1555984594546","459848","459912","464590","459940","choseSwitch","460357","left","0","0","0","0","0","0","0.17247317925921038","0.14752682074078963","0","57","459938","85","87","505","464061","4209","4738"
"1","0","1","1","0.1","0.32","0","0.97","0.02","94","1555984599293","464596","464663","469832","464696","choseTrap","465208","left","1","1","0","0","1","1","0.14581236127508912","0.1741876387249109","0","62","464692","92","95","606","468908","4309","5232"
"1","0","1","0","0.1","0.32","0","0.97","0.02","95","1555984604538","469841","469910","474724","469938","choseTrap","470562","left","0","0","0","1","0","0","0.11648256576396918","0.20351743423603083","0","65","469936","90","92","716","474265","4420","4879"
"1","0","1","0","0.1","0.32","0","0.97","0.02","96","1555984609427","474730","474797","479317","474822","choseTrap","475284","left","0","0","0","0","0","0","0.11188157171268126","0.20811842828731875","0","62","474820","86","88","550","478989","4255","4583"
"1","0","1","0","0.1","0.32","0","0.97","0.02","97","1555984614021","479324","479388","483650","479418","choseTrap","479835","left","0","0","0","0","0","0","0.1212234125127758","0.1987765874872242","0","59","89","479415","87","506","483542","4214","4321"
"1","1","0","0","0.1","0.32","0","0.97","0.02","98","1555984618354","483657","483720","487967","483749","choseSwitch","483834","right","0","0","0","0","0","0","0.09614165774584893","0.22385834225415108","0","59","483745","85","87","173","487539","3878","4306"
"2","0","2","0","0.1","0.32","0","0.97","0.02","99","1555984622670","487972","488034","492872","488065","choseTrap","488805","right","0","0","0","0","0","0","0.0567893859098222","0.2632106140901778","0","57","488060","84","86","828","492506","4531","4897"
"2","0","2","0","0.1","0.32","0","0.97","0.02","100","1555984627575","492878","492941","497741","492969","choseTrap","493403","right","0","0","0","0","0","0","0.07284855272959533","0.24715144727040467","0","59","492967","84","86","520","497108","4225","4859"
"2","0","2","0","0.1","0.32","0","0.97","0.02","101","1555984632447","497749","497811","502515","497839","choseTrap","498280","right","0","0","0","0","0","0","0.06703011981940421","0.2529698801805958","0","58","497834","82","84","527","501983","4231","4761"
"2","1","0","0","0.1","0.32","0","0.97","0.02","102","1555984637219","502521","502583","507603","502612","choseSwitch","502942","left","0","0","0","0","0","0","0.07796611376979606","0.24203388623020394","0","57","85","502610","83","418","506650","4125","5076"
"1","0","1","0","0.1","0.32","0","0.97","0.02","103","1555984642304","507607","507677","512920","507714","choseTrap","508481","left","0","0","0","0","0","0","0.04562917211321681","0.2743708278867832","0","65","507709","98","100","870","512183","4573","5308"
"1","0","1","1","0.1","0.32","0","0.97","0.02","104","1555984647624","512927","512991","517751","513022","choseTrap","513401","left","1","0","0","0","1","0","0.026756589415439097","0.29324341058456094","0","59","513018","88","90","469","517102","4171","4819"
"1","0","1","0","0.1","0.32","0","0.97","0.02","105","1555984652457","517759","517823","522578","517852","choseTrap","518426","left","0","0","0","0","0","0","0.04080761755715673","0.2791923824428433","0","59","517847","84","86","661","522127","4365","4815"
"1","0","1","0","0.1","0.32","0","0.97","0.02","106","1555984657281","522584","522643","528296","522675","choseTrap","523625","left","0","1","0","0","0","1","0.02880594939718986","0.2911940506028101","0","55","522671","82","84","1036","527327","4739","5708"
"1","1","0","0","0.1","0.32","0","0.97","0.02","107","1555984663002","528305","528367","533395","528397","choseSwitch","529045","right","0","0","0","0","0","1","0.050243060461453395","0.2697569395385466","0","58","528392","84","86","737","532751","4443","5086"
"2","0","2","0","0.1","0.32","0","0.97","0.02","108","1555984668101","533403","533469","538958","533496","choseTrap","534229","right","0","0","0","1","0","0","0.05887039483421072","0.2611296051657893","0","61","533494","87","89","821","537932","4524","5551"
"2","0","2","0","0.1","0.32","0","0.97","0.02","109","1555984673662","538964","539027","543813","539059","choseTrap","539383","right","0","0","0","0","0","0","0.03179112016806937","0.28820887983193066","0","58","539056","88","90","414","543087","4119","4845"
"2","1","0","0","0.1","0.32","0","0.97","0.02","110","1555984678518","543821","543883","549146","543912","choseSwitch","545225","left","0","0","0","0","0","0","0.023519296075934254","0.2964807039240658","0","58","543910","83","85","1399","548930","5104","5321"
"1","0","1","0","0.1","0.32","0","0.97","0.02","111","1555984683850","549152","549223","553911","549263","choseTrap","549996","left","0","0","0","0","0","0","0.00164057580727614","0.3183594241927239","0","65","549258","102","105","839","553697","4541","4754"
"1","0","1","0","0.1","0.32","0","0.97","0.02","112","1555984688613","553916","553985","558568","554018","choseTrap","554552","left","0","0","0","0","0","0","0.010785529202533783","0.3092144707974662","0","64","554015","91","93","631","558256","4336","4647"
"1","0","1","0","0.1","0.32","0","0.97","0.02","113","1555984693274","558576","558645","563693","558678","choseTrap","559114","left","0","0","0","0","0","0","0.024077652090312845","0.2959223479096872","0","64","96","558673","94","533","562819","4239","5113"
"1","1","0","0","0.1","0.32","0","0.97","0.02","114","1555984698397","563700","563765","568399","563798","choseSwitch","564246","right","0","0","0","0","0","0","0.026987296458327564","0.2930127035416724","0","61","93","563794","90","542","567951","4247","4696"
"2","0","2","0","0.1","0.32","0","0.97","0.02","115","1555984703104","568407","568476","573622","568497","choseTrap","569397","right","0","0","0","0","0","0","0.04609952796697485","0.27390047203302514","0","65","568495","84","85","985","573103","4692","5210"
"2","0","2","0","0.1","0.32","0","0.97","0.02","116","1555984708327","573630","573694","578131","573726","choseTrap","574311","right","0","0","0","0","0","0","0.06478683066990405","0.25521316933009597","0","59","573721","87","90","676","578014","4379","4497"
"2","1","0","0","0.1","0.32","0","0.97","0.02","117","1555984712835","578137","578200","583489","578237","choseSwitch","578616","left","0","1","0","0","0","1","0.061579588822061895","0.2584204111779381","0","58","578233","92","94","475","582319","4178","5348"
"1","0","1","0","0.1","0.32","0","0.97","0.02","118","1555984718192","583494","583556","588326","583592","choseTrap","583634","left","0","0","0","0","0","1","0.0699314083252173","0.2500685916747827","0","57","583587","90","92","136","587337","3839","4828"
